Unnamed: 0,title,ingredients,directions,link,source,NER
1630084,Pepperoni Pockets,"[""12 ounces crescent dinner rolls Pillsbury"", ""4 tablespoons marinara sauce"", ""pepperoni slices"", ""1 1/3 cups shredded mozzarella cheese 5 oz""]","[""Heat oven to 375\u00b0F. Separate dough into 4 rectangles. Place on ungreased cookie sheet. Press each to 7x5 inches, firmly pressing perforations to seal."", ""Spread 1 tablespoon marinara sauce on each rectangle to within 1/2 inch of edges. Place top with cheese and cover with pepperoni slices."", ""Bring ends up over filling, overlapping about 1 inch. Press edges with fork to seal."", ""Bake 13 to 15 minutes or until golden brown. Immediately remove from cookie sheet. Serve warm.""]",www.yummly.com/recipe/Pepperoni-Pockets-1821495,Gathered,"[""marinara sauce"", ""pepperoni"", ""mozzarella cheese""]"
1630152,Raw Twix ,"[""1/2 tablespoon vanilla extract"", ""1 cup raw almonds"", ""2 tablespoons coconut oil"", ""chocolate""]","[""Put all base ingredients into a food processor. Blend until dough is formed. Line the bottom of and 8x8 pan with the dough, and place in freezer."", ""Place cookie ingredients in a food processor and blend until dough is formed."", ""Remove the pan with the base from the freezer and layer cookie on top, place back in freezer when done."", ""Place all filling ingredients in a food processor and blend until smooth."", ""Run a knife under hot water and then spread filling onto the base. Place back in freezer to harden."", ""Top with raw chocolate and place in freezer for at least four hours."", ""Cut into squares and enjoy!""]",www.yummly.com/recipe/Raw-Twix--907858,Gathered,"[""vanilla"", ""almonds"", ""coconut oil"", ""chocolate""]"
1630300,Cream Of Broccoli Soup,"[""1 bunch broccoli 1.5 if you want lots of broccoli"", ""1 onion medium, ; chopped"", ""2 tablespoons butter or margarine"", ""3 large potatoes ; diced"", ""2 cans chicken broth"", ""1 dash pepper"", ""1 pint cream 1/2 & 1/2""]","[""In butter, saute onions and diced potatoes for approx. 5 minutes. (don't let them get brown!)"", ""Add 2 cans of chicken broth; simmer for 15 minutes."", ""While it is simmering, cut up broccoli into small bite sized pieces. Boil in large pan till done. Drain and put back into the large pan. Set aside."", ""In a blender, blend potatoes and chicken broth mixture until smooth. Pour this mixture into broccoli."", ""Add 1/2 & 1/2 and milk, if necessary, to achieve the consistency you want."", ""Heat and enjoy!""]",www.yummly.com/recipe/Cream-of-Broccoli-Soup-1573971,Gathered,"[""broccoli"", ""onion"", ""butter"", ""potatoes"", ""chicken broth"", ""pepper"", ""cream""]"
1630361,Carrot Halwa,"[""4 tablespoons ghee"", ""6 almonds""]","[""RECIPE:"", ""Wash,peel and grate the carrots."", ""In a deep thick bottomed pan,add ghee.Then add milk and grated carrots to the pan."", ""On low heat,bring the whole mixture to boil."", ""Let the mixture simmer for around 45 minutes."", ""When the milk is 90% reduced,add sugar to the pan."", ""Keep stirring on low heat so that milk and sugar are completely incorporated."", ""Add cardamom powder and simmer for 10 minutes."", ""Meanwhile take another small pan.add ghee to it and roast cahew nuts,almonds and raisins in it."", ""At the end,add cashew nuts,almonds and raisins to the pan of carrot halwa and let it simmer for some time.Take it off heat and serve it hot or cold as per your taste.""]",www.yummly.com/recipe/Carrot-Halwa-978123,Gathered,"[""ghee"", ""almonds""]"
1630459,Summer Peach Cream Cheese Panna Cotta,"[""1 5/8 cups peach peeled and stone"", ""7/8 cup cream cheese"", ""1/2 cup sugar""]","[""Blend together peach, cheese and sugar until smooth, set a side"", ""in small bowl, dissolve gelatine in milk"", ""More recipe please visit: http://myhomediaryinturkey.blogspot.com.tr/2016/08/peach-cheese-panna-cotta.html""]",www.yummly.com/recipe/Summer-Peach-Cream-cheese-panna-cotta-1822446,Gathered,"[""cream cheese"", ""sugar""]"
1630469,Haitian Homemade Coconut Ice Cream,"[""2 coconut milk parts"", ""2 evaporated milk parts"", ""1 sugar part, or to taste"", ""1 teaspoon vanilla extract"", ""1 teaspoon nutmeg"", ""1 rum splash of, optional""]","[""Mix all the ingredients in one pot making sure to fully dissolve the sugar"", ""Transfer to ice cream maker"", ""Add some ice and coarse salt according to your ice cream maker's instructions"", ""Let it churn for about 30-45 minutes. Actual time may vary according to your ice cream maker"", ""Once your ice cream is ready, serve immediately or store in the freezer\n\nRead more at: http://tchakayiti.com/home/one-pot-coconut-ice-cream/""]",www.yummly.com/recipe/Haitian-Homemade-Coconut-Ice-Cream-1367717,Gathered,"[""coconut milk"", ""milk"", ""sugar"", ""vanilla"", ""nutmeg""]"
1630519,Oven Crisp Potatoes,"[""potatoes 4 med."", ""1/2 cup olive oil"", ""seasoned salt"", ""pepper""]","[""Slice potatoes almost 1/2 inch thick."", ""Brush both sides with oil and place in a single layer on a cookie sheet or shallow baking dish."", ""Cover with foil and place in a preheated 375 degree oven."", ""Bake for 20 minutes then remove, brush tops with more oil, sprinkle with seasoned salt and pepper and return to oven, uncovered until they begin to brown (10 to 15 minutes).""]",www.yummly.com/recipe/Oven-Crisp-Potatoes-1665679,Gathered,"[""potatoes"", ""olive oil"", ""salt"", ""pepper""]"
1630580,Strawberry Ice Pops,"[""10 strawberries"", ""12 plain yogurt""]","[""Cut a few strawberries into slices. Place the slices on the internal part of the ice pop mold which should be kept in the freezer for at least 24 hours prior."", ""Place the remaining strawberries in the blender and puree until creamy."", ""Add the yogurt and blend."", ""Place the sticks in the ice pop mold and fill the molds with the strawberry yogurt cream."", ""Freeze the ice pops and remove them from the mold when ready. They can be stored in the freezer in their container or covered in plastic wrap.""]",www.yummly.com/recipe/Strawberry-Ice-Pops-518433,Gathered,"[""strawberries"", ""yogurt""]"
1630640,Fudge Mousse And Caramel-Nut Trifle,"[""11 3/4 ounces Smucker's(R) Sugar Free Caramel Flavored Topping"", ""13 1/2 ounces cookies sugar free Rocky Road, crumbled"", ""11 3/4 ounces Smucker's(R) Sugar Free Hot Fudge Topping"", ""16 ounces frozen whipped topping sugar free, thawed""]","[""MIX caramel topping with crumbled cookies. Reserve 2 tablespoons of cookie mixture for garnish."", ""WHISK hot fudge topping in medium bowl, gradually incorporating one container whipped topping. Stir remaining container whipped topping in separate bowl until fluffy."", ""LAYER ingredients in trifle bowl or 2 1/2-quart glass bowl in following order. Place half of fudge mousse in bottom of bowl. Top with half of plain whipped topping. Spoon all but reserved cookie mixture over topping. Top with remaining fudge mousse. Dollop remaining plain whipped topping in center. Crumble reserved cookie mixture over topping. Refrigerate 1 hour before serving.""]",www.yummly.com/recipe/Fudge-Mousse-and-Caramel-Nut-Trifle-2707844,Gathered,"[""Sugar"", ""sugar"", ""Sugar"", ""sugar""]"
1630668,"Surryano Ham With Mozzarella, Fresh Berries And Mint","[""1 ounce fresh mozzarella cheese slices"", ""1/2 ounce Surryano ham slices"", ""arugula As needed"", ""strawberries As needed"", ""blackberries As needed"", ""raspberries As needed"", ""fresh mint As needed""]","[""1. Place sliced mozzarella on a bed of arugula."", ""2. Top each with Surryano Ham and garnish with berries and fresh mint.""]",www.yummly.com/recipe/Surryano-Ham-with-Mozzarella_-Fresh-Berries-and-Mint-2255196,Gathered,"[""mozzarella cheese"", ""arugula"", ""blackberries""]"
